,time,user,Upload,Download,mean_duration
0,1036800,0,190648938.0,232564856836,4.877163026870281
1,1468800,0,5532434.0,774984284,9.435713883095652
3,518400,0,225758095.0,224746050633,11.185993280954731
4,172800,0,156824260.0,163346230596,11.784216259065056
6,1296000,0,13328187.0,9269055289,9.056073798870473
7,1641600,0,5733388.0,734570524,10.249699717734671
8,345600,0,116244117.0,139649669039,6.983630566764151
9,86400,0,206777539.0,200830345989,9.977757713722212
10,1382400,0,8006208.0,1566676504,9.628160567861949
11,1123200,0,154499125.0,179329909959,12.545184876212616
12,0,0,265681100.0,261271641692,9.311975135610343
13,1728000,0,8143044.0,3278999188,9.325006018134646
15,777600,0,298048719.0,367478472924,11.090102553611253
17,259200,0,98848113.0,114798969127,11.516843242423668
18,1814400,0,8095905.0,2928938482,9.588115068213172
19,604800,0,135003101.0,152389801178,14.036476415585536
20,864000,0,99919687.0,115093225955,10.856175604315169
21,1555200,0,5566980.0,813234747,9.08027688661522
22,950400,0,106280790.0,143309007357,5.105535757885005
24,691200,0,152876611.0,153430013558,13.884607090094464
25,1209600,0,145851643.0,152898673435,13.254687521456724
26,432000,0,202539337.0,179606464408,11.908808142525858
27,1900800,0,7614961.0,2512750230,8.903956530784574
29,172800,C15370,127058.0,14325077,5.79
30,172800,C4352,83056.0,11037704,5.137293086660176
31,172800,C13888,5896.0,1139035,45.48394863563403
32,172800,C13602,18583097.0,855861287,18.36715328467153
33,259200,C10944,66704.0,7651891,6.9444444444444455
34,259200,C14868,10975.0,2184896,8.199762187871581
35,259200,C7430,5746.0,2153177,7.582191780821918
36,259200,C6996,1555.0,373071,1.9113924050632911
37,691200,C13175,30704.0,18675314,8.319565217391304
38,691200,C13070,3615.0,507583,6.456906729634002
39,1036800,C1825,2144.0,99338,0.0
40,1036800,C13275,2456.0,714121,4.6996336996337
41,1036800,C3750,2723.0,924410,6.2921348314606735
42,1036800,C12574,195.0,44119,0.7692307692307693
43,86400,C15303,58776.0,7159704,41.64335971855761
44,86400,C11238,85503.0,10514096,5.82
45,86400,C6196,107308.0,16633619,21.425
46,86400,C14809,95217.0,19106191,5.055210489993097
47,86400,C5281,93014.0,10755069,4.662682602921646
48,86400,C6791,28598.0,16332411,14.730693069306929
49,86400,C7828,7528.0,1491679,4.113300492610836
50,86400,C9524,41.0,12064,2.6
51,1036800,C935,615.0,53369,0.2857142857142857
52,1036800,C15606,161.0,30643,2.325
53,1036800,C5084,335.0,51808,2.5
54,1123200,C13275,2236.0,829541,4.527972027972028
55,432000,C11627,5212.0,1088900,5.636363636363638
56,432000,C8175,41533.0,25486235,29.83275980729525
57,432000,C9585,3633.0,913094,0.7205128205128205
58,432000,C5937,80863.0,9677203,7.265555555555554
59,432000,C8738,927.0,165050,5.137931034482759
60,432000,C5020,851716.0,51443237,12.599567099567098
61,518400,C4816,69956.0,12018203,8.960254372019078
62,518400,C3526,75003.0,49681554,2.884955752212389
63,518400,C13844,77707.0,9379965,12.238302502720348
64,518400,C10241,1847.0,692585,4.086792452830188
65,518400,C1537,13019.0,4127805,13.548387096774194
66,518400,C11929,465.0,84589,3.4375
67,1209600,C12212,36699.0,2348940,5.741379310344827
68,1209600,C10576,345577.0,45373603,59.394004282655246
69,1209600,C9489,36691.0,2255104,6.35
70,1209600,C11142,36615.0,2341407,7.106060606060606
71,1209600,C6677,36598.0,2269904,4.8009478672985795
72,1209600,C5874,36576.0,2272769,5.686274509803924
73,1209600,C4285,95343.0,31177564,20.219469026548676
74,345600,C8573,96144.0,11215206,6.8415245737211645
75,345600,C11386,2072.0,813861,0.1384180790960452
76,345600,C5018,72309.0,9160805,7.136186770428016
77,691200,C954,665529.0,35408959,13.114942528735632
78,777600,C3239,31702.0,3181312,2.338391502276176
79,777600,C11973,23649.0,2503452,2.9874213836477987
80,777600,C10430,25160.0,3004836,1.9406896551724135
81,777600,C12369,18926.0,5694235,29.33219761499148
82,777600,C10185,17154.0,1794907,13.903790087463555
83,777600,C6645,1966.0,285727,14.60344827586207
84,604800,C8143,3659.0,775728,6.5539772727272725
85,604800,C12147,3123.0,1026672,5.038461538461538
86,604800,C11849,15515.0,1684252,20.637474541751526
87,604800,C11525,8111.0,1678594,7.291784702549576
88,604800,C15491,975.0,197457,4.805128205128205
89,604800,C3408,248.0,55653,0.90625
90,691200,C12822,1947.0,237210,57.356435643564346
91,86400,C9576,599.0,101315,14.25
92,604800,C12594,3545.0,486124,13.857894736842105
93,950400,C5269,1911.0,774797,6.201413427561837
94,950400,C6813,8358.0,1948375,4.441860465116279
95,950400,C12794,1670.0,666902,4.047244094488189
96,950400,C5196,183.0,38205,2.6296296296296298
97,950400,C6855,210.0,46522,1.0357142857142858
98,691200,C6113,110.0,21662,3.571428571428572
99,1382400,C2997,5529.0,988865,35.06818181818182
100,864000,C12652,5762.0,675745,46.368200836820094
101,864000,C3333,702.0,32292,0.0
102,864000,C11695,1511.0,617513,3.922480620155039
103,864000,C10265,1328.0,426490,19.87745098039216
104,864000,C13101,454.0,100348,3.5892857142857144
105,864000,C15224,331.0,62062,1.3277310924369747
106,0,C5156,70475.0,8459775,6.260321100917431
107,0,C13056,4400.0,1019825,4.568807339449541
108,0,C10718,72276.0,8495575,4.415763546798028
109,0,C7581,77001.0,9430819,0.9416228838295388
110,0,C11067,262063.0,41286064,32.52866242038217
111,1123200,C11823,36552.0,8290438,11.225806451612904
112,1209600,C7544,270.0,40299,7.333333333333332
113,950400,C422,401.0,21966,0.203125
114,1036800,C10279,3600.0,765035,3.459016393442623
115,0,C4102,147.0,25759,4.470588235294118
116,0,C10747,262.0,56558,2.4761904761904763
117,0,C9576,366.0,59514,4.375
118,0,C15293,304.0,51090,6.081081081081082
119,172800,C13419,48.0,10889,1.3076923076923077
120,86400,C8855,5744.0,933391,47.96798652064028
121,86400,C15731,3067.0,915345,3.5564738292011024
122,86400,C4029,50342.0,9613978,29.6784140969163
123,86400,C15802,26755.0,19286081,5.705179282868526
124,86400,C5061,3105.0,760186,4.867924528301887
125,172800,C11004,1740627.0,101493233,27.60498793242156
126,172800,C11996,80232.0,10458188,6.543521594684385
127,172800,C3239,4940.0,1032477,4.054597701149425
128,172800,C12147,2445.0,745691,4.583011583011583
129,172800,C10261,2514.0,837697,5.7990867579908665
130,172800,C15126,4487.0,1107431,5.013192612137203
131,172800,C11468,70727.0,8800624,5.908596300326443
132,172800,C3159,465.0,93880,0.4941176470588236
133,1036800,C8422,2342.0,763725,5.493150684931507
134,1036800,C5033,2490.0,744668,8.665384615384616
135,1036800,C12594,1926.0,284383,6.652173913043479
136,1036800,C13107,47382.0,8727773,9.871194379391099
137,1036800,C2468,137.0,23730,4.0
138,1036800,C13175,4974.0,976410,5.735632183908047
139,0,C1528,3898.0,734862,10.314935064935067
140,0,C2935,6402.0,1410865,6.220650636492222
141,0,C7335,76.0,14980,3.0
142,0,C10799,29223.0,3175287,2.292984869325997
143,1123200,C7579,8135.0,7778347,2.575
144,1123200,C14655,3590.0,844045,4.865079365079366
145,1123200,C13779,9662.0,6225140,2.8241639697950376
146,1123200,C11033,65727.0,12154456,12.230717185385654
147,1123200,C11499,5630.0,1181903,5.119565217391305
148,1123200,C14366,3748.0,944039,4.958041958041958
149,1123200,C12147,2294.0,870664,4.4822695035461
150,1123200,C11731,659.0,135935,2.9272727272727272
151,1123200,C9197,90.0,15579,6.421052631578947
152,1123200,C8833,499.0,81428,1.5
153,1123200,C6988,48.0,10807,2.5
154,1123200,C8188,1159.0,263623,16.76923076923077
155,1123200,C3736,79811.0,52664679,66.48672566371681
156,1209600,C15399,90.0,17337,0.8
157,1209600,C15775,6036.0,1398763,8.949579831932773
158,432000,C13783,701082.0,119110761,44.0455182072829
159,432000,C8371,171293.0,141008317,5.836538461538463
160,604800,C1712,2132.0,280215,0.7880952380952381
161,604800,C12100,3135.0,866459,12.550802139037433
162,604800,C9082,73302.0,15532499,16.94789081885856
163,604800,C459,42089.0,10892524,12.067915690866512
164,604800,C7533,47648.0,11595300,7.8551724137931025
165,777600,C12547,118541.0,14747764,5.022715266772319
166,777600,C14190,1194.0,192142,2.607142857142857
167,345600,C9030,169.0,45279,0.5
168,691200,C11138,37900.0,7947734,42.017040358744396
169,691200,C7593,33984.0,6220674,9.659955257270694
170,691200,C9921,258.0,60963,3.0
171,691200,C3923,210.0,51562,0.7857142857142857
172,432000,C3926,295.0,44457,4.285714285714286
173,518400,C9082,118488.0,12628205,6.481449525452978
174,518400,C13559,57261.0,43623120,5.5823754789272035
175,518400,C14595,46503.0,38395248,4.167822468793343
176,518400,C15405,2022.0,772460,3.8517241379310345
177,518400,C12006,109465.0,43815478,43.83790523690773
178,518400,C317,43946.0,5769603,2.8244897959183675
179,518400,C14768,10471.0,2472737,6.509225092250923
180,518400,C3091,2134.0,347270,1.0695652173913044
181,1296000,C203,57780.0,27473891,60.91203703703704
182,1296000,C14296,997462.0,69504076,7.829183555298205
183,1382400,C13667,12443.0,2818062,7.051867219917012
184,950400,C11519,92505.0,15162382,59.80778210116732
185,950400,C5957,1707.0,770776,7.547169811320754
186,950400,C14225,10665.0,2159386,7.201121794871796
187,950400,C2647,1205.0,450344,6.582278481012659
188,950400,C11902,2022.0,307544,1.3452380952380951
189,259200,C5493,80123.0,11046458,3.8602806589383767
190,259200,C12183,353.0,96363,1.7647058823529411
191,691200,C7095,47443.0,6212045,33.87040618955513
192,691200,C4448,3403.0,643098,0.989010989010989
193,172800,C12737,1444.0,214857,4.34375
194,777600,C7842,501.0,73265,3.02
195,86400,C7652,9127.0,4013805,5.98
196,86400,C8559,509.0,102477,2.372093023255814
197,777600,C7102,594.0,66804,21.1
198,86400,C6190,87.0,18023,1.1666666666666667
199,432000,C13367,953.0,167407,7.428571428571429
200,518400,C9657,95.0,27537,6.666666666666668
201,864000,C11547,1547.0,658833,5.0769230769230775
202,950400,C7769,9.0,3521,0.0
203,172800,C11926,2223.0,623728,5.161434977578475
204,172800,C11950,371909.0,73803650,42.89125295508274
205,172800,C7679,17991.0,2666699,33.77368421052632
206,172800,C11621,8141.0,1848644,5.765640516385303
207,259200,C12954,23743.0,5533005,2.757912042745581
208,259200,C707,2834.0,139004,0.0
209,259200,C10285,1163.0,367166,14.865168539325845
210,259200,C4429,1109.0,348667,7.7832167832167825
211,691200,C9467,6562.0,1230229,43.49841772151899
212,691200,C6689,1746.0,512544,19.3125
213,691200,C10214,1686.0,458684,20.454106280193237
214,691200,C9657,22.0,6974,8.0
215,1036800,C7414,4739.0,480899,48.5958904109589
216,1036800,C3578,2425.0,749714,4.368029739776952
217,1036800,C6747,1636.0,188722,1.4479768786127167
218,432000,C924,4669.0,831504,27.340350877192982
219,432000,C7840,1620783.0,84549332,40.878279118572934
220,432000,C13559,71191.0,16217281,28.060483870967737
221,432000,C8538,2625.0,567730,4.327868852459017
222,432000,C9825,94795.0,10878987,7.276422764227643
223,432000,C3091,2291.0,371835,2.15962441314554
